material_id,delta_e
heus_164992,-0.2883424975
heus_167745,-0.2838405575
heus_167831,-0.2883424975
heus_164790,-0.570958621250001
heus_165476,-0.460257815
heus_164586,-0.95702083875
heus_165102,0.760289111250001
heus_166594,0.453615552500001
heus_165704,-0.22972173625
heus_163736,0.23728109375
heus_166421,-0.1680685525
heus_167562,-0.39925158875
heus_164514,-0.145568396249999
heus_168734,-0.51636448625
heus_166476,-0.94913967
heus_168238,-0.19732279625
heus_166773,-0.549435085
heus_162896,-0.66016195125
heus_163240,-0.0910664937499996
heus_165231,-0.2916478
heus_167234,-0.49045890375
heus_165150,0.293494311249999
heus_167896,-0.402412235
heus_166661,-0.23452029875
heus_165493,-0.27118891875
heus_165972,-0.3652520525
heus_162999,-0.668518333750001
heus_167372,0.0790208137499997
heus_168872,-0.29938597
heus_168689,-0.37442842125
heus_166857,-0.26886586625
heus_164480,-0.46974189625
heus_164569,-0.745867662499999
heus_164475,-0.153749211249999
heus_165860,-0.42735275625
heus_167927,-0.8502239025
heus_165119,0.122838673749999
heus_168428,-0.78182318625
heus_168979,-0.0656472824999996
heus_165435,-0.344523141233134
heus_168449,-0.397067751241567
heus_165790,-0.752235232491567
heus_164766,-0.18337083125
heus_164306,-0.515562485
heus_167088,-0.66613975375
heus_166319,-0.00736877624999988
heus_163520,-0.331132267499999
heus_167744,-0.841058326250001
heus_162955,-0.556181488749999
heus_164933,-0.755767445
heus_166837,-0.47599937625
heus_162871,-0.507974183541668
heus_164097,-0.746145012291668
heus_163290,-0.0893286233333352
heus_166016,-0.313634214698276
heus_167903,-0.435016123448276
heus_164754,0.0825744118534502
heus_165708,-0.0310242537499992
heus_163063,-0.383556885
heus_165503,0.393665063749999
heus_164239,-0.0268447737499997
heus_167845,-0.588541945
heus_165675,0.165398976249999
heus_162913,-0.66132096625
heus_164440,-0.339685132500001
heus_164477,-0.33112452125
heus_168943,-0.362179766250001
heus_163572,-0.158518299999999
heus_166268,0.52848461375
heus_163718,-0.71231204625
heus_164013,-0.547016622500001
heus_165079,-0.10676154625
heus_167022,-0.95141692625
heus_162814,-0.58961087
heus_167606,-0.697478101249999
heus_165379,-1.08221782125
heus_162888,-0.50180258
heus_163449,-0.564341848749999
heus_165803,-0.0780281174999997
heus_168161,-0.219412761249999
heus_163324,0.78987706125
heus_168671,-0.87852865375
heus_167902,-0.515370855
heus_167447,-0.46480994375
heus_168662,-0.51833832875
heus_163999,-0.388057874999999
heus_163662,-0.123519846250001
heus_167989,-1.0739225275
heus_165940,-0.458189751249999
heus_168241,-0.21688186375
heus_165794,-0.24938254
heus_163832,-1.01123364125
heus_168381,-0.229509038749999
heus_168646,-0.746931555
heus_165040,-0.250937876250001
heus_163902,0.082755281249999
